judge_code,judge_name,student_name,student_id,session_number,format
Smith,John Smith,Ava Johnson,S001,2,Talk
Williams,Emily Williams,Ava Johnson,S001,2,Talk
Brown,Michael Brown,Ava Johnson,S001,2,Talk
Smith,John Smith,Liam Davis,S002,7,Talk
Jones,Sarah Jones,Liam Davis,S002,7,Talk
Miller,David Miller,Liam Davis,S002,7,Talk
Williams,Emily Williams,Olivia Wilson,S003,8,Talk
Taylor,James Taylor,Olivia Wilson,S003,8,Talk
Anderson,Emma Anderson,Olivia Wilson,S003,8,Talk
Jones,Sarah Jones,Noah Brown,S004,9,Talk
Brown,Michael Brown,Noah Brown,S004,9,Talk
Miller,David Miller,Noah Brown,S004,9,Talk
Jones,Sarah Jones,Ethan Taylor,S005,9,Talk
Davis,Liam Davis,Ethan Taylor,S005,9,Talk
Wilson,Olivia Wilson,Ethan Taylor,S005,9,Talk
Smith,John Smith,Isla Anderson,S006,11,Talk
Taylor,James Taylor,Isla Anderson,S006,11,Talk
Jones,Sarah Jones,Isla Anderson,S006,11,Talk
Miller,David Miller,Jack Wilson,S007,12,Talk
Anderson,Emma Anderson,Jack Wilson,S007,12,Talk
Smith,John Smith,Jack Wilson,S007,12,Talk
Williams,Emily Williams,Sophia Martinez,S008,13,Talk
Anderson,Emma Anderson,Sophia Martinez,S008,13,Talk
Smith,John Smith,Sophia Martinez,S008,13,Talk
Williams,Emily Williams,Isabella Clark,S009,13,Talk
Anderson,Emma Anderson,Isabella Clark,S009,13,Talk
Smith,John Smith,Isabella Clark,S009,13,Talk
Williams,Emily Williams,Lucas Harris,S010,13,Talk
Anderson,Emma Anderson,Lucas Harris,S010,13,Talk
Smith,John Smith,Lucas Harris,S010,13,Talk
Davis,Liam Davis,Henry Thomas,S011,14,Talk
Wilson,Olivia Wilson,Henry Thomas,S011,14,Talk
Taylor,James Taylor,Henry Thomas,S011,14,Talk
Davis,Liam Davis,Ethan Lewis,S012,14,Talk
Miller,David Miller,Ethan Lewis,S012,14,Talk
Taylor,James Taylor,Ethan Lewis,S012,14,Talk
Davis,Liam Davis,Ava Walker,S013,14,Talk
Wilson,Olivia Wilson,Ava Walker,S013,14,Talk
Taylor,James Taylor,Ava Walker,S013,14,Talk
Davis,Liam Davis,Mia Hall,S014,14,Talk
Wilson,Olivia Wilson,Mia Hall,S014,14,Talk
Taylor,James Taylor,Mia Hall,S014,14,Talk
Williams,Emily Williams,Noah Young,S015,15,Talk
Brown,Michael Brown,Noah Young,S015,15,Talk
Smith,John Smith,Noah Young,S015,15,Talk
Williams,Emily Williams,Liam King,S016,15,Talk
Brown,Michael Brown,Liam King,S016,15,Talk
Jones,Sarah Jones,Liam King,S016,15,Talk
Brown,Michael Brown,Chloe Scott,S017,16,Talk
Taylor,James Taylor,Chloe Scott,S017,16,Talk
Anderson,Emma Anderson,Chloe Scott,S017,16,Talk
Smith,John Smith,Benjamin Adams,S018,18,Talk
Brown,Michael Brown,Benjamin Adams,S018,18,Talk
Smith,John Smith,Benjamin Adams,S018,18,Talk
Brown,Michael Brown,Henry Carter,S019,20,Talk
Williams,Emily Williams,Henry Carter,S019,20,Talk
Jones,Sarah Jones,Henry Carter,S019,20,Talk
Taylor,James Taylor,Amelia Baker,S020,21,Talk
Anderson,Emma Anderson,Amelia Baker,S020,21,Talk
Smith,John Smith,Amelia Baker,S020,21,Talk
Taylor,James Taylor,Jack Evans,S021,21,Talk
Anderson,Emma Anderson,Jack Evans,S021,21,Talk
Smith,John Smith,Jack Evans,S021,21,Talk
Jones,Sarah Jones,Evelyn Foster,S022,23,Talk
Taylor,James Taylor,Evelyn Foster,S022,23,Talk
Miller,David Miller,Evelyn Foster,S022,23,Talk
Jones,Sarah Jones,Grace Harris,S023,24,Talk
Williams,Emily Williams,Grace Harris,S023,24,Talk
Miller,David Miller,Grace Harris,S023,24,Talk
Jones,Sarah Jones,Samuel Clark,S024,24,Talk
Williams,Emily Williams,Samuel Clark,S024,24,Talk
Davis,Liam Davis,Samuel Clark,S024,24,Talk
Smith,John Smith,Victoria Lewis,S025,1,Poster
Brown,Michael Brown,Victoria Lewis,S025,1,Poster
Smith,John Smith,Victoria Lewis,S025,1,Poster
Smith,John Smith,Daniel Wilson,S026,1,Poster
Brown,Michael Brown,Daniel Wilson,S026,1,Poster
Williams,Emily Williams,Daniel Wilson,S026,1,Poster
Smith,John Smith,Olivia Adams,S027,1,Poster
Brown,Michael Brown,Olivia Adams,S027,1,Poster
Williams,Emily Williams,Olivia Adams,S027,1,Poster
Smith,John Smith,Sophie Brown,S028,1,Poster
Brown,Michael Brown,Sophie Brown,S028,1,Poster
Williams,Emily Williams,Sophie Brown,S028,1,Poster
Davis,Liam Davis,Jack Harris,S029,2,Poster
Wilson,Olivia Wilson,Jack Harris,S029,2,Poster
Smith,John Smith,Jack Harris,S029,2,Poster
Davis,Liam Davis,Liam Taylor,S030,2,Poster
Wilson,Olivia Wilson,Liam Taylor,S030,2,Poster
Taylor,James Taylor,Liam Taylor,S030,2,Poster
Davis,Liam Davis,Ethan Davis,S031,2,Poster
Wilson,Olivia Wilson,Ethan Davis,S031,2,Poster
Taylor,James Taylor,Ethan Davis,S031,2,Poster
Williams,Emily Williams,Noah Wilson,S032,3,Poster
Wilson,Olivia Wilson,Noah Wilson,S032,3,Poster
Taylor,James Taylor,Noah Wilson,S032,3,Poster
Williams,Emily Williams,Lucas Brown,S033,3,Poster
Smith,John Smith,Lucas Brown,S033,3,Poster
Jones,Sarah Jones,Lucas Brown,S033,3,Poster
Williams,Emily Williams,Owen Harris,S034,3,Poster
Smith,John Smith,Owen Harris,S034,3,Poster
Jones,Sarah Jones,Owen Harris,S034,3,Poster
Anderson,Emma Anderson,Isla Smith,S035,3,Poster
Smith,John Smith,Isla Smith,S035,3,Poster
Jones,Sarah Jones,Isla Smith,S035,3,Poster
Anderson,Emma Anderson,Emma Davis,S036,3,Poster
Smith,John Smith,Emma Davis,S036,3,Poster
Jones,Sarah Jones,Emma Davis,S036,3,Poster
Anderson,Emma Anderson,Oliver Wilson,S037,3,Poster
Miller,David Miller,Oliver Wilson,S037,3,Poster
Smith,John Smith,Oliver Wilson,S037,3,Poster
Anderson,Emma Anderson,Harry Taylor,S038,3,Poster
Smith,John Smith,Harry Taylor,S038,3,Poster
Williams,Emily Williams,Harry Taylor,S038,3,Poster
Davis,Liam Davis,Charlotte Adams,S039,3,Poster
Smith,John Smith,Charlotte Adams,S039,3,Poster
Williams,Emily Williams,Charlotte Adams,S039,3,Poster
Anderson,Emma Anderson,Amelia Clark,S040,3,Poster
Miller,David Miller,Amelia Clark,S040,3,Poster
Williams,Emily Williams,Amelia Clark,S040,3,Poster
